,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA
,,,,,,,,,,,,,,
Annual Growth Rate and CAGR,,,,,,,,,,,,,,
Forecast CAGR,Solar Capacity,%,2024-2030,14.0%,13.9%,18.4%,15.7%,13.5%,18.5%,23.6%,12.9%,12.3%,18.4%,10.5%
Forecast CAGR,Wind Capacity,%,2024-2030,9.1%,9.5%,9.4%,17.5%,7.3%,15.0%,17.4%,6.5%,7.4%,9.7%,19.5%
Forecast CAGR,Hydro Capacity,%,2024-2030,2.8%,2.3%,9.2%,4.1%,0.8%,3.6%,6.0%,0.7%,1.3%,7.8%,2.4%
Forecast CAGR,Geo Capacity,%,2024-2030,14.2%,121.2%,719.2%,26.7%,8.1%,73.8%,4.4%,14.8%,2.3%,13.8%,8.0%
Forecast CAGR,Biomass Capacity,%,2024-2030,0.7%,1.0%,1.2%,9.8%,-0.7%,12.3%,-0.2%,0.1%,-0.2%,2.6%,0.5%
Forecast CAGR,Nuclear Capacity,%,2024-2030,1.4%,3.1%,5.1%,12.0%,-0.2%,1.5%,16.9%,0.5%,3.8%,0.6%,1.9%
,,,,,,,,,,,,,,
Forecast Annual Growth Rate,Solar Capacity,%,2025,17%,19%,19%,19%,18%,25%,11%,12%,16%,19%,17%
Forecast Annual Growth Rate,Solar Capacity,%,2026,16%,17%,31%,18%,15%,24%,8%,13%,14%,23%,12%
Forecast Annual Growth Rate,Solar Capacity,%,2027,14%,14%,25%,16%,14%,25%,10%,12%,12%,23%,8%
Forecast Annual Growth Rate,Solar Capacity,%,2028,13%,13%,16%,14%,13%,15%,31%,11%,11%,17%,12%
Forecast Annual Growth Rate,Solar Capacity,%,2029,12%,10%,11%,14%,11%,10%,46%,14%,10%,14%,7%
Forecast Annual Growth Rate,Solar Capacity,%,2030,12%,10%,10%,14%,11%,13%,41%,16%,10%,14%,7%
Forecast Annual Growth Rate,Wind Capacity,%,2025,9%,8%,2%,14%,8%,32%,20%,6%,9%,17%,42%
Forecast Annual Growth Rate,Wind Capacity,%,2026,8%,8%,3%,15%,7%,15%,20%,7%,7%,4%,24%
