				Global	CHN	IND	MEA	NAM	NEE	SEA	EUR	LAM	SSA	OPA
Capacity Factor	Biomass	%	2017	15.335241%	35.406220%	16.128927%	0.313975%	6.984990%	2.778670%	8.443224%	36.602003%	17.575090%	150.524917%	31.208894%
Capacity Factor	Biomass	%	2018	54.983186%	50.474788%	53.200990%	22.772800%	51.925981%	30.930576%	51.840320%	73.645788%	33.420634%	7.811740%	51.720221%
Capacity Factor	Biomass	%	2019	54.643736%	66.352457%	40.602685%	61.293119%	51.776419%	24.157347%	51.218011%	59.648633%	42.035305%	23.942726%	61.554973%
Capacity Factor	Biomass	%	2020	52.131963%	61.377940%	31.497242%	43.895702%	50.349662%	28.388954%	50.765191%	57.647000%	45.031662%	22.413911%	52.875624%
Capacity Factor	Biomass	%	2021	62.322474%	38.083041%	47.221797%	32.091030%	61.344439%	54.439277%	78.498070%	89.326476%	48.863816%	68.250209%	70.542667%
Capacity Factor	Biomass	%	2022	58.094658%	62.836013%	3.333047%	32.031849%	74.479383%	77.719944%	78.218606%	48.153006%	64.135369%	61.830003%	80.232534%
Capacity Factor	Biomass	%	2023	58.750408%	68.488521%	4.305503%	22.335585%	62.938276%	78.109116%	78.774884%	50.752184%	62.636380%	61.293121%	80.299741%
Capacity Factor	Biomass	%	2024	52.802495%	59.636240%	3.471913%	17.366241%	51.469976%	76.625803%	73.962273%	47.927147%	50.897756%	57.143638%	80.398736%
Capacity Factor	Biomass	%	2025	46.934704%	52.031762%	3.122378%	13.669922%	47.592876%	70.136301%	69.030395%	43.675163%	38.552070%	41.853079%	77.013994%
Capacity Factor	Biomass	%	2026	41.389108%	50.032366%	3.619639%	8.462859%	45.343407%	49.439821%	59.831701%	34.377119%	29.608473%	26.552238%	75.872608%
Capacity Factor	Biomass	%	2027	40.251456%	52.864602%	4.503035%	7.488856%	44.308227%	50.342227%	57.830142%	31.416467%	23.911083%	16.388807%	76.838639%
Capacity Factor	Biomass	%	2028	41.090431%	56.402811%	4.267872%	8.361035%	42.684240%	54.652319%	62.104633%	32.441060%	21.318458%	11.166209%	77.502129%
